x eps	logit.p	p	u	y
-1.601445677	0.046514431	-2.757822599	0.059646376	0.375294353	0
-0.921651741	-0.084851041	-0.849806264	0.2994735	0.689077867	0
0.504777676	0.0099708	3.524303829	0.971371432	0.634217131	1
1.444129435	0.054241245	6.386629552	0.998318909	0.515348328	1
0.362058944	0.146517034	3.232693867	0.962046237	0.067225631	1
2.424142912	0.095832395	9.368261132	0.999914616	0.28581618	1
-1.565269708	0.044714442	-2.651094683	0.065921571	0.434767255	0
1.512537051	-0.137670973	6.399940179	0.9983411	0.78517161	1
-1.196017737	-0.076127291	-1.664180502	0.159201612	0.314400412	0
-1.238300096	-0.005395485	-1.720295773	0.15183307	0.785162127	0
0.388286001	0.082301767	3.24715977	0.962570919	0.235943849	1
0.776254788	0.130370768	4.459135133	0.98856002	0.570467248	1
1.069836256	0.154510232	5.364018998	0.995339768	0.883407599	1
-0.116057017	0.25220604	1.90403499	0.870347526	0.238521965	1
-1.194288951	-0.066072789	-1.648939642	0.161252311	0.715039872	0
-8.3077E-05	-0.054268319	1.94548245	0.874953213	0.741834797	1
-0.164247476	0.085029915	1.592287488	0.830937693	0.534979816	1
-1.723914271	-0.101644312	-3.273387124	0.036495538	0.986454395	0
0.799346614	0.158741495	4.556781336	0.98961323	0.007715367	1
-1.673530379	-0.137715639	-3.158306775	0.040765213	0.382910626	0
1.557977366	0.067870655	6.741802754	0.998820875	0.667929525	1
-2.216160176	0.054878191	-4.593602338	0.010015035	0.971104476	0
1.834722658	0.145120415	7.649288389	0.999523844	0.511140597	1
-0.332294119	0.19596623	1.199083872	0.768361769	0.900066329	0
1.350352888	-0.018416884	6.032641781	0.997606595	0.095828556	1
0.332277154	0.043750337	3.040581799	0.95437417	0.866618813	1
0.31430258	-0.067530139	2.875377601	0.946615755	0.439936028	1
-0.399636774	-0.144618767	0.656470911	0.658467182	0.659389037	0
0.944941077	0.000537799	4.835361031	0.992118787	0.89944659	1
-0.746312223	0.007907508	-0.231029162	0.442498243	0.200054321	1
-0.341347336	-0.11946392	0.856494071	0.701927645	0.522569873	1
1.025959864	-0.058899516	5.018980076	0.993432156	0.653997389	1
-0.562993071	0.132063476	0.443084262	0.608993703	0.203119643	1
0.733329624	-0.025421615	4.174567256	0.98485117	0.789743262	1
0.98017891	-0.136867705	4.803669024	0.99186708	0.897451105	1
-0.540901453	-0.051174535	0.326121104	0.580815284	0.377143082	1
1.548806262	-0.206983617	6.439435169	0.998405239	0.018968209	1
1.118787301	-0.152730989	5.203630913	0.994533477	0.748401388	1
1.974840845	-0.12396914	7.800553396	0.999590659	0.191000532	1
-0.239345577	-0.02595296	1.25601031	0.77833854	0.500534498	1
0.082933236	-0.15072368	2.098076028	0.890716038	0.275812319	1
-0.988142761	-0.081087198	-1.04551548	0.260087181	0.703002033	0
-0.808868088	0.033772019	-0.392832245	0.403035682	0.317003983	1
-2.369041016	0.121691101	-4.985431948	0.006790399	0.625697068	0
0.151836629	0.009888905	2.465398793	0.921680267	0.844557856	1
0.305728171	-0.067840486	2.849344026	0.945284765	0.231646608	1
-2.006697855	-0.102376624	-4.122470189	0.01594604	0.583649065	0
-0.625666281	0.068833169	0.191834325	0.547812046	0.728890297	0
0.454690903	-0.153191713	3.210880996	0.961241701	0.970883612	0
0.392317366	0.089358432	3.266310531	0.963254806	0.535010078	1
